"Ticker","Nome","Negócios","Última (R$)","Variação"
"ALLD3","Allied","63.100","6,97","-0,57%"
"TAEE3","Taesa","63.000","11,49","-0,78%"
"LAND3","Terra Santa","63.000","9,72","-2,61%"
"SANB3","Banco Santander","62.800","14,06","-1,13%"
"CSUD3","CSU Cardsystem","55.400","18,18","-1,20%"
"LUPA3","Lupatech","54.400","1,18","-1,67%"
"TECN3","Technos","53.700","6,98","-1,55%"
"GGBR3","Gerdau","51.500","15,00","+1,97%"
"BRAP3","Bradespar","49.500","15,18","+2,22%"
"OIBR4","Oi","47.700","8,79","-1,57%"
"SCAR3","São Carlos","37.100","16,82","-2,94%"
"SANB4","Banco Santander","33.700","15,43","-2,28%"
"EUCA4","Eucatex","26.300","18,95","+0,58%"
"BIOM3","Biomm","24.500","6,97","-1,69%"
"ATED3","ATOM EDUCAÇÃO E EDITORA S.A.","23.900","1,81","-6,22%"
"SHOW3","Time For Fun","22.100","6,47","-1,22%"
"ENGI4","Energisa","21.300","8,75","-4,68%"
"TPIS3","Triunfo","20.800","4,05","+1,76%"
"INEP4","Inepar","20.500","1,63","+0,00%"
"BEES3","Banestes","19.200","8,69","+0,70%"
"COCE5","Coelce","18.600","29,85","+3,36%"
"GOAU3","Metalúrgica Gerdau","16.400","9,27","+3,81%"
"AGXY3","AgroGalaxy","15.800","5,99","+0,34%"
"LVTC3","WDC Networks","15.200","3,53","+0,28%"
"LOGN3","Log-In","14.700","25,90","+0,58%"
"TRAD3","Traders Club","14.500","6,47","-2,27%"
"CEBR5","CEB","14.400","19,69","+0,46%"
"RAPT3","Randon","14.400","8,20","-2,38%"
"EALT4","Electro Aço Altona","13.100","14,27","-1,92%"
"BRSR3","Banrisul","13.100","12,08","-0,08%"
"VIVR3","Viver","12.400","0,86","-2,27%"
"FHER3","Fertilizantes Heringer","11.900","3,86","-0,77%"
"LUXM4","Trevisa","11.800","4,31","-15,49%"
"NGRD3","Neogrid","11.700","26,20","+1,75%"
"DOTZ3","Dotz","11.600","6,93","+1,91%"
"BMEB4","Banco Mercantil do Brasil","11.500","40,49","+1,35%"
"ALUP4","Alupar","11.400","9,77","-2,88%"
"INEP3","Inepar","10.400","2,20","+0,46%"
"TASA3","Taurus","10.000","7,31","-1,48%"
"BAZA3","Banco da Amazônia","9.500","74,57","+0,08%"
"FICT3","Fictor Alimentos","9.200","3,57","+2,59%"
"ENGI3","Energisa","8.400","11,77","-1,01%"
"BEES4","Banestes","8.400","8,78","+1,39%"
"VSTE3","LE LIS BLANC","7.900","6,05","+0,00%"
"CEBR6","CEB","7.800","21,90","+0,23%"
"EQPA3","Equatorial Energia Pará","7.100","5,63","-0,18%"
"ALUP3","Alupar","6.900","11,02","-3,59%"
"CAMB3","Cambuci","6.900","10,01","-1,86%"
"SNSY5","Sansuy","6.800","3,61","+0,56%"
"AZEV11","Azevedo & Travassos","6.700","0,14","+0,00%"
"BRKM3","Braskem","5.800","9,71","+0,31%"
"RNEW11","Renova Energia","5.700","2,90","+0,69%"
"RSID3","Rossi Residencial","5.600","2,10","+0,00%"
"WHRL3","Whirlpool","5.300","4,44","-4,31%"
"CTSA4","Santanense","5.100","2,24","-2,18%"
"BSLI4","Banco de Brasília","5.000","9,55","+6,11%"
"OFSA3","Ourofino Saúde Animal","4.800","23,97","-0,46%"
"ALPA3","Alpargatas","4.800","8,75","-0,46%"
"CEEB3","COELBA","4.400","36,79","-1,89%"
"MNDL3","Mundial","4.300","18,59","-4,67%"
"NUTR3","Nutriplant","4.300","3,58","+2,29%"
